Address|Latitude|Longitude|Title
"Venice Beach, San Pedro"|-33.682003|-59.665165|Lords of Dogtown (2005)
"S.S. Lane Victory, Berth 94, San Pedro"|-33.682003|-59.665165|Outbreak (1995)
"S.S. Lane Victory, Berth 94, San Pedro"|-33.682003|-59.665165|Pearl Harbor (2001)
"Hollywood sign, Hollywood; World Cruise Center, Berths, 91-93, San Pedro"|-33.682003|-59.665165|S.W.A.T. (2003)
"S.S. Lane Victory, Berth 94, San Pedro"|-33.682003|-59.665165|Titanic (1997)
"CAA Building, 2000 Avenue of the Stars"|24.892388|67.155752|Inception (2010)
"Hollywood Roosevelt Hotel, 7000 Hollywood Blvd., Hollywood"|26.009301|-80.227973|Almost Famous (2000)
"Hollywood Roosevelt Hotel, 7000 Hollywood Blvd., Hollywood"|26.009301|-80.227973|Beverly Hills Cop II (1987)
"Hollywood Roosevelt Hotel, 7000 Hollywood Blvd., Hollywood"|26.009301|-80.227973|Internal Affairs (1990)
"Hollywood Roosevelt Hotel, 7000 Hollywood Blvd., Hollywood"|26.009301|-80.227973|The Fabulous Baker Boys (1989)
"Musso & Frank Grill, 6667 Hollywood Blvd., Hollywood"|26.009915|-80.220864|Charlie’s Angels 2: Full Throttle (2003)
"Musso & Frank Grill, 6667 Hollywood Blvd., Hollywood"|26.009915|-80.220864|Taken (2008)
"Frolic Room, 6245 Hollywood Blvd., Hollywood"|26.010116|-80.212177|L.A. Confidential (1997)
"Pantages Theatre, 6233 Hollywood Blvd., Hollywood"|26.010118|-80.212067|Paparazzi (2004)
"Pantages Theatre, 6233 Hollywood Blvd., Hollywood"|26.010118|-80.212067|The Aviator (2004)
"Pantages Theatre, 6233 Hollywood Blvd., Hollywood"|26.010118|-80.212067|The Black Dahlia (2006)
"Grauman’s Chinese Theatre, 6925 Hollywood Blvd., Hollywood"|26.011201|-80.14949|Blazing Saddles (1974)
"Grauman’s Chinese Theatre, Hollywood Blvd, Hollywood"|26.011201|-80.14949|Mighty Joe Young (1998)
"Grauman’s Chinese Theatre, 6925 Hollywood Blvd., Hollywood"|26.011201|-80.14949|Singin' in the Rain (1952)
"Grauman’s Chinese Theatre, 6925 Hollywood Blvd., Hollywood"|26.011201|-80.14949|The Aviator (2004)
Venice Boardwalk|29.228699|-81.007713|Romy & Michelle’s High School Reunion (1997)
"Farmers Market, 6333 W. Third St., LA"|30.452918|-97.664593|Body Double (1984)
"Beverly Hills Hotel, 9641 Sunset Blvd., Beverly Hills"|33.374358|-111.998892|American Gigolo (1980)
"Beverly Hills Hotel, 9641 Sunset Blvd., Beverly Hills"|33.374358|-111.998892|Shampoo (1975)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|A Star Is Born (1976)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Airport (1979)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Bugsy (1991)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Dave (1993)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Ghostbusters (1984)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|House of Sand and Fog (2003)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|King Kong (1976)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|"New York, New York (1977)"
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Pretty in Pink (1985)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Pride & Prejudice (2004)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Rocky III (1982)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Splash (1984)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|The Buddy Holly Story (1978)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Vertigo (1958)
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA"|33.57593|-112.231214|Wedding Crashers (2005)
"Whittier Boulevard and Anderson Street, East LA"|33.642422|-111.996175|Born in East L.A. (1987)
"Cabrillo Beach, 3800 Stephen M. White Drive, San Pedro"|33.709543|-118.283693|50 First Dates (2004)
"Angel’s Gate, 3601 S. Gaffey St., San Pedro"|33.712408|-118.294129|Pearl Harbor (2001)
"Fort MacArthur, 3601 S. Gaffey St., San Pedro"|33.712408|-118.294129|Swing Shift (1984)
"Angel’s Gate, 3601 S. Gaffey St., San Pedro"|33.712408|-118.294129|The Usual Suspects (1995)
"Warner Grand Theatre, 478 W. Sixth St., San Pedro"|33.739008|-118.287194|Pearl Harbor (2001)
"Terminal Island, San Pedro"|33.742847|-118.261433|Charlie’s Angels 2: Full Throttle (2003)
"Wayfarers Chapel, 5755 Palos Verdes Drive South, Rancho Palos Verdes"|33.743643|-118.377354|Innerspace (1987)
"Vincent Thomas Bridge, San Pedro"|33.749121|-118.269177|To Live and Die in L.A. (1985)
"Shoreline Drive, Long Beach"|33.771701|-118.203009|Transformers 2 (2009)
"420 and 422 Avalon Blvd., Wilmington"|33.774846|-118.261557|White Man’s Burden (1995)
"South Bay Liquor Mart, 1014 Wilmington Ave., Wilmington"|33.782579|-118.274032|Crash (2005)
"4160 Country Club Drive, Long Beach"|33.831664|-118.198659|Ferris Bueller’s Day Off (1986)
"Metro Green Line Redondo Beach Station, 2406 Marine Ave., Redondo Beach"|33.894534|-118.320259|Heat (1995)
"Hilton Los Angeles Airport, 5711 West Century Blvd., El Segundo"|33.91918|-118.416465|Heat (1995)
"LA Airport Courthouse, 11701 S. La Cienega Blvd., LA"|33.928277|-118.371471|White Oleander (2002)
"Korean Air building, 6101 W. Imperial Highway, El Segundo"|33.932408|-118.392312|Hancock (2008)
